LCSC Part;MFR.Part;First Category;Second Category;Package;Solder Joint;Manufacturer;Library Type
C22807;150KΩ (1503) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22808;150Ω (1500) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22809;15KΩ (1502) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22810;15Ω (15R0) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22818;16KΩ (1602) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22827;180KΩ (1803) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22828;180Ω (1800) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22843;1.5KΩ (1501) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C4177;1.8KΩ (1801) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22859;10Ω (10R0) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22935;1MΩ (1004) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22936;1Ω (1R00) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C4190;2.2KΩ (2201) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22938;2.2MΩ (2204) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22939;2.2Ω (2R20) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22940;2.4KΩ (2401) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C13167;2.7KΩ (2701) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22950;20Ω (20R0) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22961;220KΩ (2203) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22962;220Ω (2200) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22965;270KΩ (2703) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22966;270Ω (2700) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22967;27KΩ (2702) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22975;2KΩ (2001) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22976;2MΩ (2004) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
