# ECP5-5G caBGA381 Pin Migration,,,,,,,,,,,,,,,,,,,,,,
# Revision 0.0,,,,,,,,,,,,,,,,,,,,,,
"# Revised Feb. 23, 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LFE5UM5G-25,,,,,,,,LFE5UM5G-45,,,,,,,,LFE5UM5G-85,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS
D15,PT53A,1,-,True_OF_PT53B,-,-,,D15,PT71A,1,-,True_OF_PT71B,-,-,,D15,PT107A,1,-,True_OF_PT107B,-,-
D16,PT58B,1,-,Comp_OF_PT58A,-,-,,D16,PT76B,1,-,Comp_OF_PT76A,-,-,,D16,PT112B,1,-,Comp_OF_PT112A,-,-
D17,PR2B,2,S0_IN,Comp_OF_PR2A,TRUE,RDQ8,,D17,PR11B,2,URC_GPLL0C_IN,Comp_OF_PR11A,TRUE,RDQ17,,D17,PR11B,2,URC_GPLL0C_IN,Comp_OF_PR11A,TRUE,RDQ17
D18,PR5A,2,-,True_OF_PR5B,TRUE,RDQ8,,D18,PR14A,2,-,True_OF_PR14B,TRUE,RDQ17,,D18,PR14A,2,-,True_OF_PR14B,TRUE,RDQ17
D19,PR14B,2,-,Comp_OF_PR14A,TRUE,RDQ20,,D19,PR23B,2,-,Comp_OF_PR23A,TRUE,RDQ29,,D19,PR35B,2,-,Comp_OF_PR35A,TRUE,RDQ41
D20,PR14C,2,VREF1_2,True_OF_PR14D,-,RDQ20,,D20,PR23C,2,VREF1_2,True_OF_PR23D,-,RDQ29,,D20,PR35C,2,VREF1_2,True_OF_PR35D,-,RDQ41
E1,PL17D,7,-,Comp_OF_PL17C,-,LDQ20,,E1,PL26D,7,-,Comp_OF_PL26C,-,LDQ29,,E1,PL38D,7,-,Comp_OF_PL38C,-,LDQ41
E2,PL23D,7,PCLKC7_0,Comp_OF_PL23C,-,LDQ20,,E2,PL32D,7,PCLKC7_0,Comp_OF_PL32C,-,LDQ29,,E2,PL44D,7,PCLKC7_0,Comp_OF_PL44C,-,LDQ41
E3,PL11B,7,-,Comp_OF_PL11A,TRUE,LDQ8,,E3,PL20B,7,-,Comp_OF_PL20A,TRUE,LDQ17,,E3,PL20B,7,-,Comp_OF_PL20A,TRUE,LDQ17
E4,PL8A,7,-,True_OF_PL8B,TRUE,LDQS8,,E4,PL17A,7,-,True_OF_PL17B,TRUE,LDQS17,,E4,PL17A,7,-,True_OF_PL17B,TRUE,LDQS17
E5,PL11C,7,-,True_OF_PL11D,-,LDQ8,,E5,PL20C,7,-,True_OF_PL20D,-,LDQ17,,E5,PL20C,7,-,True_OF_PL20D,-,LDQ17
